DIM_TIME,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
2000,1,GLOBAL,none,World,180,134,233
2001,1,GLOBAL,none,World,180,134,233
2002,1,GLOBAL,none,World,180,135,232
2003,1,GLOBAL,none,World,180,135,232
2004,1,GLOBAL,none,World,179,134,230
2005,1,GLOBAL,none,World,178,134,227
2006,1,GLOBAL,none,World,176,133,224
2007,1,GLOBAL,none,World,173,132,219
2008,1,GLOBAL,none,World,170,131,213
2009,1,GLOBAL,none,World,167,130,209
2010,1,GLOBAL,none,World,163,128,202
2011,1,GLOBAL,none,World,161,133,191
2012,1,GLOBAL,none,World,157,132,184
2013,1,GLOBAL,none,World,153,130,177
2014,1,GLOBAL,none,World,150,133,167
2015,1,GLOBAL,none,World,146,133,160
2016,1,GLOBAL,none,World,141,132,151
2017,1,GLOBAL,none,World,138,130,146
2018,1,GLOBAL,none,World,135,127,143
2019,1,GLOBAL,none,World,132,124,139
2020,1,GLOBAL,none,World,128,120,137
2021,1,GLOBAL,none,World,131,122,140
2022,1,GLOBAL,none,World,133,124,143
