GEO_NAME_SHORT,Country Name,2022 [YR2022], P.D. per km2,TB_RATE_PER_100000_N,HIV_RATE_PER_1000_N
Afghanistan,Afghanistan,1960.945925,61.48055441,185,0.03
Angola,Angola,6836.106305,27.67608406,333,0.44
Argentina,Argentina,26607.29661,16.73874169,29,0.09
Armenia,Armenia,18272.82996,98.03210397,25,0.19
Bahamas,"Bahamas, The",29827.37358,40.74985015,13,0.15
Belarus,Belarus,25478.91748,45.83683173,28,0.11
Belgium,Belgium,62228.06822,382.6352378,7.8,0.04
Belize,Belize,11827.14614,17.5375274,27,0.35
Benin,Benin,3666.362316,115.2615733,52,0.11
Bhutan,Bhutan,13334.54642,20.38505506,164,0.08
Bolivia (Plurinational State of),Bolivia,9289.554526,11.15062494,108,0.16
Botswana,Botswana,16805.70583,4.567294832,229,1.92
Brazil,Brazil,17593.54759,25.64281323,49,0.24
Bulgaria,Bulgaria,31461.85348,63.35430177,16,0.03
Burundi,Burundi,861.031258,488.7544003,97,0.1
Cabo Verde,Cabo Verde,7769.236894,145.8870968,31,0.34
Cameroon,Cameroon,4662.563929,57.53766157,157,0.36
Central African Republic,Central African Republic,1095.842755,8.759757938,540,1.57
Chad,Chad,1728.910163,13.64337675,140,0.22
Chile,Chile,28130.70734,26.21700747,17,0.25
Colombia,Colombia,18321.46972,46.43223254,47,0.16
Congo,"Congo, Rep.",5806.855269,17.08874378,369,2.89
Costa Rica,Costa Rica,22327.96544,100.9392284,10,0.14
Côte d'Ivoire,Cote d'Ivoire,6540.492164,86.40958805,123,0.31
Croatia,Croatia,40187.84435,69.31703002,2.7,0.02
Czechia,Czechia,45265.10984,136.1083491,317,0.13
Denmark,Denmark,74965.94218,146.418325,4,0.01
Dominican Republic,Dominican Republic,21878.21011,233.9078286,43,0.37
Ecuador,Ecuador,13896.85441,71.66104445,45,0.11
Egypt,"Egypt, Arab Rep.",16050.96213,109.7615932,9.8,0.05
El Salvador,El Salvador,10309.4214,304.7377896,50,0.13
Estonia,Estonia,43028.08362,31.13291228,11,0.1
Eswatini,Eswatini,11034.70789,69.3180814,325,4.1
Ethiopia,Ethiopia,2686.678875,106.5799119,126,0.08
France,France,55176.22481,123.7575339,7.2,0.09
Gabon,Gabon,18924.67547,9.085958784,509,0.83
Gambia,"Gambia, The",2732.65957,260.8612648,145,0.6
Georgia,Georgia,19525.30946,64.88348088,60,0.14
Ghana,Ghana,6545.654547,144.3000839,133,0.53
Greece,Greece,34502.3192,81.99539953,2.2,0.08
Guatemala,Guatemala,12170.95582,159.6654162,26,0.07
Guinea,Guinea,3412.495042,55.07042976,175,0.43
Guinea-Bissau,Guinea-Bissau,2357.115622,73.28310811,361,0.59
Haiti,Haiti,3029.894291,415.3689768,154,0.58
Honduras,Honduras,5906.583865,91.86115828,31,0.05
India,India,8475.67988,473.4187327,199,0.05
Indonesia,Indonesia,13106.56401,144.6473804,385,0.09
Iran (Islamic Republic of),"Iran, Islamic Rep.",15444.05326,54.19009676,11,0.03
Italy,Italy,50899.81582,199.9654163,4.6,0.04
Kenya,Kenya,5431.031162,93.13282145,237,0.46
Kyrgyzstan,Kyrgyz Republic,5822.80717,35.31491137,130,0.11
Latvia,Latvia,37623.09546,30.2826611,19,0.19
Lesotho,Lesotho,2968.982948,75.14670619,661,3.03
Lithuania,Lithuania,42324.8521,44.73469094,30,0.06
Luxembourg,Luxembourg,91143.90357,248.6206816,8.3,0.06
Madagascar,Madagascar,1625.426772,49.70033173,233,0.3
Malaysia,Malaysia,31629.45608,102.1880201,113,0.09
Mali,Mali,2309.346342,17.95210828,49,0.28
Malta,Malta,50835.18681,1620.425,13,0.09
Mexico,Mexico,21334.79886,65.17921654,28,0.16
Montenegro,Montenegro,26668.08654,46.03799257,14,0.02
Morocco,Morocco,8483.361328,83.0754739,93,0.02
Mozambique,Mozambique,1336.43212,40.79080343,361,3.2
Namibia,Namibia,10742.56352,3.073219643,450,2.39
Nepal,Nepal,4660.851964,209.5220719,229,0.02
New Zealand,New Zealand,47291.33306,19.41172003,5.9,0.01
Nicaragua,Nicaragua,6542.13789,56.92654147,43,0.08
North Macedonia,North Macedonia,21962.94394,72.84353688,11,0.03
Panama,Panama,32462.42676,58.65822324,47,0.32
Papua New Guinea,Paraguay,14733.24161,21.970227,432,0.65
Peru,Peru,14288.32493,16.8733929,151,0.17
Philippines,Philippines,9865.370726,381.9308717,75.67998964,0.21
Portugal,Portugal,39867.76499,113.1135105,16,0.06
Romania,Romania,38442.75611,83.11047896,52,0.03
Rwanda,Rwanda,2804.166731,545.6784759,56,0.24
Senegal,Senegal,4172.138896,87.6576118,112,0.09
Serbia,Serbia,22577.78338,81.27394458,14,0.02
Slovakia,Slovak Republic,36462.09724,113.2954867,75.67998964,0.02
South Africa,South Africa,13819.63409,48.95947951,468,3.15
Tajikistan,Tajikistan,5416.831204,70.25047914,78,0.1
Timor-Leste,Timor-Leste,5459.912422,88.83268325,498,0.07
Togo,Togo,2747.706475,158.941515,32,0.28
Uganda,Uganda,2669.577833,228.6743367,198,1.21
United Republic of Tanzania,TZ,3444.732422,71.78633326,195,0.54
Uruguay,Uruguay,27826.69481,19.57639127,38,0.24
Viet Nam,Viet Nam,12490.12898,310.9732316,176,0.06
Zimbabwe,Zimbabwe,3351.026955,41.3429598,204,1.12
