DIM_TIME,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
2000,32,COUNTRY,South America,Argentina,37,30,44
2001,32,COUNTRY,South America,Argentina,35,29,42
2002,32,COUNTRY,South America,Argentina,35,29,42
2003,32,COUNTRY,South America,Argentina,33,27,38
2004,32,COUNTRY,South America,Argentina,34,28,40
2005,32,COUNTRY,South America,Argentina,31,26,36
2006,32,COUNTRY,South America,Argentina,28,24,33
2007,32,COUNTRY,South America,Argentina,30,25,34
2008,32,COUNTRY,South America,Argentina,26,23,30
2009,32,COUNTRY,South America,Argentina,22,20,24
2010,32,COUNTRY,South America,Argentina,21,19,23
2011,32,COUNTRY,South America,Argentina,27,23,31
2012,32,COUNTRY,South America,Argentina,24,21,27
2013,32,COUNTRY,South America,Argentina,24,21,27
2014,32,COUNTRY,South America,Argentina,25,22,28
2015,32,COUNTRY,South America,Argentina,26,22,29
2016,32,COUNTRY,South America,Argentina,27,24,31
2017,32,COUNTRY,South America,Argentina,27,23,30
2018,32,COUNTRY,South America,Argentina,27,23,31
2019,32,COUNTRY,South America,Argentina,29,25,34
2020,32,COUNTRY,South America,Argentina,28,24,32
2021,32,COUNTRY,South America,Argentina,29,24,33
2022,32,COUNTRY,South America,Argentina,29,25,33
2000,68,COUNTRY,South America,Bolivia (Plurinational State of),184,80,331
2001,68,COUNTRY,South America,Bolivia (Plurinational State of),179,100,281
2002,68,COUNTRY,South America,Bolivia (Plurinational State of),173,96,273
2003,68,COUNTRY,South America,Bolivia (Plurinational State of),168,80,288
2004,68,COUNTRY,South America,Bolivia (Plurinational State of),163,92,254
2005,68,COUNTRY,South America,Bolivia (Plurinational State of),158,92,241
2006,68,COUNTRY,South America,Bolivia (Plurinational State of),153,79,252
2007,68,COUNTRY,South America,Bolivia (Plurinational State of),148,78,241
2008,68,COUNTRY,South America,Bolivia (Plurinational State of),144,78,230
2009,68,COUNTRY,South America,Bolivia (Plurinational State of),139,77,220
2010,68,COUNTRY,South America,Bolivia (Plurinational State of),135,76,211
2011,68,COUNTRY,South America,Bolivia (Plurinational State of),131,75,202
2012,68,COUNTRY,South America,Bolivia (Plurinational State of),127,74,193
2013,68,COUNTRY,South America,Bolivia (Plurinational State of),123,73,186
2014,68,COUNTRY,South America,Bolivia (Plurinational State of),120,73,179
2015,68,COUNTRY,South America,Bolivia (Plurinational State of),117,72,173
2016,68,COUNTRY,South America,Bolivia (Plurinational State of),114,72,166
2017,68,COUNTRY,South America,Bolivia (Plurinational State of),111,71,160
2018,68,COUNTRY,South America,Bolivia (Plurinational State of),108,70,155
2019,68,COUNTRY,South America,Bolivia (Plurinational State of),106,69,150
2020,68,COUNTRY,South America,Bolivia (Plurinational State of),102,67,147
2021,68,COUNTRY,South America,Bolivia (Plurinational State of),107,69,149
2022,68,COUNTRY,South America,Bolivia (Plurinational State of),108,70,149
2000,76,COUNTRY,South America,Brazil,51,43,60
2001,76,COUNTRY,South America,Brazil,48,41,56
2002,76,COUNTRY,South America,Brazil,52,44,62
2003,76,COUNTRY,South America,Brazil,53,44,63
2004,76,COUNTRY,South America,Brazil,54,45,64
2005,76,COUNTRY,South America,Brazil,50,42,58
2006,76,COUNTRY,South America,Brazil,46,39,54
2007,76,COUNTRY,South America,Brazil,46,39,53
2008,76,COUNTRY,South America,Brazil,46,39,54
