DIM_TIME,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
2000,4,COUNTRY,Asia,Afghanistan,190,122,271
2001,4,COUNTRY,Asia,Afghanistan,189,122,271
2002,4,COUNTRY,Asia,Afghanistan,189,122,270
2003,4,COUNTRY,Asia,Afghanistan,189,122,270
2004,4,COUNTRY,Asia,Afghanistan,189,122,270
2005,4,COUNTRY,Asia,Afghanistan,189,122,270
2006,4,COUNTRY,Asia,Afghanistan,189,122,270
2007,4,COUNTRY,Asia,Afghanistan,189,122,270
2008,4,COUNTRY,Asia,Afghanistan,189,122,271
2009,4,COUNTRY,Asia,Afghanistan,189,122,271
2010,4,COUNTRY,Asia,Afghanistan,189,122,271
2011,4,COUNTRY,Asia,Afghanistan,189,122,271
2012,4,COUNTRY,Asia,Afghanistan,189,122,270
2013,4,COUNTRY,Asia,Afghanistan,189,122,270
2014,4,COUNTRY,Asia,Afghanistan,189,122,270
2015,4,COUNTRY,Asia,Afghanistan,189,122,270
2016,4,COUNTRY,Asia,Afghanistan,189,122,270
2017,4,COUNTRY,Asia,Afghanistan,189,122,270
2018,4,COUNTRY,Asia,Afghanistan,189,122,270
2019,4,COUNTRY,Asia,Afghanistan,189,122,270
2020,4,COUNTRY,Asia,Afghanistan,183,118,260
2021,4,COUNTRY,Asia,Afghanistan,185,118,257
2022,4,COUNTRY,Asia,Afghanistan,185,117,255
2000,48,COUNTRY,Asia,Bahrain,33,29,39
2001,48,COUNTRY,Asia,Bahrain,30,25,34
2002,48,COUNTRY,Asia,Bahrain,29,25,34
2003,48,COUNTRY,Asia,Bahrain,39,33,45
2004,48,COUNTRY,Asia,Bahrain,34,29,39
2005,48,COUNTRY,Asia,Bahrain,36,31,41
2006,48,COUNTRY,Asia,Bahrain,33,28,38
2007,48,COUNTRY,Asia,Bahrain,33,28,38
2008,48,COUNTRY,Asia,Bahrain,31,27,36
2009,48,COUNTRY,Asia,Bahrain,32,27,37
2010,48,COUNTRY,Asia,Bahrain,23,20,27
2011,48,COUNTRY,Asia,Bahrain,21,18,25
