DIM_TIME,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
2000,910,WORLDBANKINCOMEGROUP,none,High-income economies,21,20,22
2001,910,WORLDBANKINCOMEGROUP,none,High-income economies,21,21,22
2002,910,WORLDBANKINCOMEGROUP,none,High-income economies,21,20,22
2003,910,WORLDBANKINCOMEGROUP,none,High-income economies,21,20,22
2004,910,WORLDBANKINCOMEGROUP,none,High-income economies,19,18,20
2005,910,WORLDBANKINCOMEGROUP,none,High-income economies,19,19,20
2006,910,WORLDBANKINCOMEGROUP,none,High-income economies,19,18,19
2007,910,WORLDBANKINCOMEGROUP,none,High-income economies,18,17,18
2008,910,WORLDBANKINCOMEGROUP,none,High-income economies,18,17,18
2009,910,WORLDBANKINCOMEGROUP,none,High-income economies,17,16,18
2010,910,WORLDBANKINCOMEGROUP,none,High-income economies,17,16,17
2011,910,WORLDBANKINCOMEGROUP,none,High-income economies,16,16,17
2012,910,WORLDBANKINCOMEGROUP,none,High-income economies,15,15,16
2013,910,WORLDBANKINCOMEGROUP,none,High-income economies,15,14,15
2014,910,WORLDBANKINCOMEGROUP,none,High-income economies,14,14,15
2015,910,WORLDBANKINCOMEGROUP,none,High-income economies,14,13,14
2016,910,WORLDBANKINCOMEGROUP,none,High-income economies,13,13,14
2017,910,WORLDBANKINCOMEGROUP,none,High-income economies,13,12,13
2018,910,WORLDBANKINCOMEGROUP,none,High-income economies,12,12,12
2019,910,WORLDBANKINCOMEGROUP,none,High-income economies,11,11,12
2020,910,WORLDBANKINCOMEGROUP,none,High-income economies,9.2,8.9,9.5
2021,910,WORLDBANKINCOMEGROUP,none,High-income economies,9.1,8.9,9.4
2022,910,WORLDBANKINCOMEGROUP,none,High-income economies,8.9,8.6,9.2
2000,911,WORLDBANKINCOMEGROUP,none,Low-income economies,274,185,363
2001,911,WORLDBANKINCOMEGROUP,none,Low-income economies,269,185,353
2002,911,WORLDBANKINCOMEGROUP,none,Low-income economies,264,186,343
2003,911,WORLDBANKINCOMEGROUP,none,Low-income economies,260,187,333
2004,911,WORLDBANKINCOMEGROUP,none,Low-income economies,255,187,322
2005,911,WORLDBANKINCOMEGROUP,none,Low-income economies,249,187,312
2006,911,WORLDBANKINCOMEGROUP,none,Low-income economies,245,187,302
2007,911,WORLDBANKINCOMEGROUP,none,Low-income economies,240,186,294
2008,911,WORLDBANKINCOMEGROUP,none,Low-income economies,233,184,282
2009,911,WORLDBANKINCOMEGROUP,none,Low-income economies,229,183,275
2010,911,WORLDBANKINCOMEGROUP,none,Low-income economies,224,182,267
2011,911,WORLDBANKINCOMEGROUP,none,Low-income economies,221,188,255
2012,911,WORLDBANKINCOMEGROUP,none,Low-income economies,217,182,252
2013,911,WORLDBANKINCOMEGROUP,none,Low-income economies,213,180,245
2014,911,WORLDBANKINCOMEGROUP,none,Low-income economies,208,178,238
2015,911,WORLDBANKINCOMEGROUP,none,Low-income economies,203,178,228
2016,911,WORLDBANKINCOMEGROUP,none,Low-income economies,199,174,224
2017,911,WORLDBANKINCOMEGROUP,none,Low-income economies,195,171,219
2018,911,WORLDBANKINCOMEGROUP,none,Low-income economies,191,168,214
2019,911,WORLDBANKINCOMEGROUP,none,Low-income economies,188,165,210
2020,911,WORLDBANKINCOMEGROUP,none,Low-income economies,184,162,206
2021,911,WORLDBANKINCOMEGROUP,none,Low-income economies,181,159,203
2022,911,WORLDBANKINCOMEGROUP,none,Low-income economies,181,159,204
2000,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,291,166,416
2001,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,290,166,415
2002,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,290,167,413
2003,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,289,167,411
2004,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,287,167,406
2005,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,284,167,400
2006,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,280,168,392
2007,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,275,167,382
2008,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,269,167,371
2009,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,264,167,361
2010,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,258,167,349
2011,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,252,182,323
2012,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,245,182,308
2013,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,238,181,295
2014,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,233,194,272
2015,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,228,197,259
2016,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,220,198,242
2017,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,214,196,232
2018,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,208,191,226
2019,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,204,186,221
2020,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,198,179,217
2021,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,203,183,223
2022,912,WORLDBANKINCOMEGROUP,none,Lower-middle-income economies,206,184,227
2000,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,134,104,164
2001,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,134,106,162
2002,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,134,107,160
2003,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,134,108,159
2004,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,133,108,159
2005,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,132,106,157
2006,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,130,105,155
2007,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,128,103,153
2008,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,126,107,145
2009,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,124,107,142
2010,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,120,103,137
2011,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,118,103,133
2012,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,116,99,133
